Año,Universidad,Carrera,H,M,Matricula
,,,,,
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,7,9,16
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN CONTADURÍA PÚBLICA,6,15,21
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN DERECHO,1,7,8
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN DERECHO Y CIENCIAS SOCIALES,12,18,30
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN DISEÑO GRÁFICO,12,9,21
2015,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN PSICOLOGÍA,13,40,53
2015,"AS MEDIA CENTRO DE FORMACIÓN PROFESIONAL, A.C.",LICENCIATURA EN ASESORÍA DE IMAGEN,4,43,47
2015,"AS MEDIA CENTRO DE FORMACIÓN PROFESIONAL, A.C.",LICENCIATURA EN DISEÑO MULTIMEDIA,25,16,41
2015,"AS MEDIA CENTRO DE FORMACIÓN PROFESIONAL, A.C.",LICENCIATURA EN TELEVISIÓN,52,57,109
2015,"ATENEO UNIVERSITARIO EN HUMANIDADES Y CIENCIAS DE LA SALUD, A. C.",LICENCIATURA EN ENFERMERÍA,44,181,225
2015,"ATENEO UNIVERSITARIO EN HUMANIDADES Y CIENCIAS DE LA SALUD, A. C.",LICENCIATURA EN ODONTOLOGÍA,6,15,21
2015,"ATENEO UNIVERSITARIO EN HUMANIDADES Y CIENCIAS DE LA SALUD, A. C.",LICENCIATURA EN TERAPIA FÍSICA Y REHABILITACIÓN,36,49,85
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,CURSO COMPLEMENTARIO DE LA LICENCIATURA EN ENFERMERÍA,1,33,34
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AGROFORESTAL,38,43,81
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AGROINDUSTRIAL,36,28,64
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AGRÓNOMO ZOOTECNISTA,70,40,110
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AMBIENTAL,220,368,588
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA CIVIL,943,222,"1,165"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN AGROHIDRÁULICA,89,65,154
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN ALIMENTOS,151,358,509
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN CIENCIAS DE LA COMPUTACIÓN,"1,586",420,"2,006"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN GEOFÍSICA,145,94,239
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN MATERIALES,110,64,174
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN MECATRÓNICA,"1,017",184,"1,201"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN,324,100,424
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA INDUSTRIAL,678,399,"1,077"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA MECÁNICA Y ELÉCTRICA,916,86,"1,002"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA QUÍMICA,311,319,630
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA TEXTIL,57,65,122
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA TOPOGRÁFICA Y GEODÉSICA,145,62,207
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ACTUARIA,206,171,377
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,"1,348","1,893","3,241"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN PÚBLICA Y CIENCIAS POLÍTICAS,379,332,711
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN TURÍSTICA,460,"1,166","1,626"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN Y DIRECCIÓN DE PEQUEÑAS Y MEDIANAS EMPRESAS,50,61,111
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ANTROPOLOGÍA SOCIAL,102,132,234
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ARQUITECTURA,"1,582","1,095","2,677"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ARTE DIGITAL,74,62,136
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ARTE DRAMÁTICO,70,134,204
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ARTES PLÁSTICAS,41,83,124
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN BIOLOGÍA,433,649,"1,082"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN BIOMEDICINA,71,77,148
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN BIOTECNOLOGÍA,83,105,188
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,420,135,555
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN,16,13,29
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CIENCIAS POLÍTICAS,481,350,831
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CINEMATOGRAFÍA,77,60,137
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN COMERCIO INTERNACIONAL,516,800,"1,316"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN COMUNICACIÓN,648,898,"1,546"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CONSULTORÍA JURÍDICA,108,144,252
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CONTADURÍA,2,0,2
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CONTADURÍA PÚBLICA,"1,590","2,631","4,221"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CRIMINOLOGÍA,310,603,913
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CULTURA FÍSICA,729,256,985
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DANZA,29,181,210
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DANZA MODERNA Y CLÁSICA,1,1,2
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DERECHO,"2,130","2,522","4,652"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DIRECCIÓN FINANCIERA,20,14,34
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DISEÑO GRÁFICO,560,734,"1,294"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DISEÑO URBANO AMBIENTAL,8,11,19
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ECONOMÍA,381,329,710
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ELECTRÓNICA,695,84,779
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ENFERMERÍA,131,852,983
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ENFERMERÍA (CURSO COMPLEMENTARIO),7,182,189
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ENSEÑANZA DEL FRANCÉS,91,165,256
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ESTOMATOLOGÍA,790,"1,864","2,654"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ETNOCOREOLOGÍA,25,80,105
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FARMACIA,53,81,134
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FILOSOFÍA,164,91,255
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FINANZAS,186,191,377
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FÍSICA,258,109,367
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FÍSICA APLICADA,148,74,222
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FISIOTERAPIA,251,679,930
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN GASTRONOMÍA,224,265,489
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN HISTORIA,195,172,367
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN INGENIERÍA AGROINDUSTRIAL,13,16,29
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN INGENIERÍA AGRONÓMICA EN ZOOTECNIA,21,17,38
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN INGENIERÍA EN ENERGÍAS RENOVABLES,141,74,215
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN INGENIERÍA EN SISTEMAS AUTOMOTRICES,266,31,297
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN LA ENSEÑANZA DE LENGUAS-INGLÉS,13,37,50
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN LA ENSEÑANZA DEL INGLÉS,490,997,"1,487"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN LENGUAS MODERNAS,10,7,17
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN LINGÜÍSTICA Y LITERATURA HISPÁNICA,142,272,414
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MATEMÁTICAS,133,110,243
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MATEMÁTICAS APLICADAS,101,87,188
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MEDICINA,"2,506","2,937","5,443"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MEDICINA FAMILIAR Y COMUNITARIA,67,106,173
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,569,446,"1,015"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MERCADOTECNIA Y MEDIOS DIGITALES,77,99,176
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MÚSICA,215,65,280
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN NEGOCIOS INTERNACIONALES,72,92,164
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN NUTRICIÓN CLÍNICA,101,492,593
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN PROCESOS EDUCATIVOS,27,144,171
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN PSICOLOGÍA,674,"1,886","2,560"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN QUÍMICA,94,82,176
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN QUÍMICO FARMACOBIÓLOGO,502,886,"1,388"
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN READAPTACIÓN Y ACTIVACIÓN FÍSICA,33,30,63
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN RELACIONES INTERNACIONALES,229,483,712
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN SOCIOLOGÍA,82,131,213
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN URBANISMO Y DISEÑO AMBIENTAL,230,186,416
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA QUÍMICO FARMACOBIÓLOGO,17,20,37
2015,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,PROFESIONAL ASOCIADO EN IMAGENOLOGÍA,60,99,159
2015,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN INTELECTUAL,3,113,116
2015,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN FÍSICA,182,71,253
2015,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN INICIAL,0,95,95
2015,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN PREESCOLAR,2,409,411
2015,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN PRIMARIA,52,227,279
2015,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA,76,171,247
2015,CENTRO ACADÉMICO Y CAPACITACIÓN DE EXCELENCIA,TÉCNICO SUPERIOR UNIVERSITARIO EN URGENCIAS MÉDICAS,7,3,10
2015,CENTRO DE CAPACITACIÓN Y DESARROLLO DE ESTUDIOS PROFESIONALES,LICENCIATURA EN SERVICIO Y PROMOCIÓN TURÍSTICA,6,6,12
2015,"CENTRO DE CIENCIAS JURÍDICAS DE PUEBLA, A.C.",LICENCIATURA EN CRIMINOLOGÍA Y CRIMINALÍSTICA,37,43,80
2015,"CENTRO DE CIENCIAS JURÍDICAS DE PUEBLA, A.C.",LICENCIATURA EN DERECHO,124,84,208
2015,CENTRO DE EDUCACIÓN ABIERTA (SISTEMA NO ESCOLARIZADO),LICENCIATURA EN ADMINISTRACIÓN,20,34,54
2015,CENTRO DE EDUCACIÓN ABIERTA (SISTEMA NO ESCOLARIZADO),LICENCIATURA EN CONTADURÍA,8,21,29
2015,CENTRO DE EDUCACIÓN ABIERTA (SISTEMA NO ESCOLARIZADO),LICENCIATURA EN CONTADURÍA PÚBLICA,8,14,22
2015,CENTRO DE EDUCACIÓN ABIERTA (SISTEMA NO ESCOLARIZADO),LICENCIATURA EN DERECHO,38,48,86
2015,CENTRO DE ENSEÑANZA SUPERIOR EN DISEÑO DE MODAS,LICENCIATURA EN DISEÑO GRÁFICO,6,2,8
2015,CENTRO DE ENSEÑANZA SUPERIOR EN DISEÑO DE MODAS,LICENCIATURA EN DISEÑO Y ARMONIZACIÓN DE LA MODA,2,7,9
2015,CENTRO DE ESTUDIOS DE ESTÉTICA Y COSMETOLOGÍA ALBADA,TÉCNICO SUPERIOR UNIVERSITARIO EN COSMETOLOGÍA INTEGRAL,0,0,0
2015,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,83,99,182
2015,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN ADMINISTRACIÓN TURÍSTICA,7,16,23
2015,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN COMERCIO EXTERIOR Y ADUANAS,20,17,37
2015,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN MERCADOTECNIA,6,13,19
2015,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN DOCENCIA Y EDUCACIÓN A DISTANCIA,9,44,53
2015,"CENTRO DE ESTUDIOS JAVE, A.C.",LICENCIATURA EN COSMETOLOGÍA INTEGRAL,0,80,80
2015,CENTRO DE ESTUDIOS LAS AMÉRICAS,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,11,18,29
2015,CENTRO DE ESTUDIOS LAS AMÉRICAS,LICENCIATURA EN CONTADURÍA PÚBLICA Y AUDITORÍA,21,21,42
2015,CENTRO DE ESTUDIOS LAS AMÉRICAS,LICENCIATURA EN DERECHO Y CIENCIAS SOCIALES,51,68,119
2015,CENTRO DE ESTUDIOS PARA EL DESARROLLO RURAL,LICENCIATURA EN PLANEACIÓN DE DESARROLLO RURAL,28,23,51
2015,CENTRO DE ESTUDIOS PARA EL DESARROLLO RURAL,LICENCIATURA EN PLANEACIÓN DEL DESARROLLO RURAL,43,32,75
2015,"CENTRO DE ESTUDIOS SUPERIORES DE TEPEACA, A.C.",LICENCIATURA EN DERECHO,15,31,46
2015,"CENTRO DE ESTUDIOS SUPERIORES DE TEPEACA, A.C.",LICENCIATURA EN ODONTOLOGÍA,24,42,66
2015,"CENTRO DE ESTUDIOS SUPERIORES DE TEPEACA, A.C.",MÉDICO CIRUJANO Y PARTERO,266,232,498
2015,"CENTRO DE ESTUDIOS SUPERIORES SIMÓN BOLÍVAR, A.C.",CONTADURÍA PÚBLICA,0,2,2
2015,"CENTRO DE ESTUDIOS SUPERIORES SIMÓN BOLÍVAR, A.C.",LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,2,8,10
2015,"CENTRO DE ESTUDIOS SUPERIORES SIMÓN BOLÍVAR, A.C.",LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN,0,1,1
2015,"CENTRO DE ESTUDIOS SUPERIORES SIMÓN BOLÍVAR, A.C.",LICENCIATURA EN DERECHO,17,7,24
2015,CENTRO DE ESTUDIOS SUPERIORES TERCER MILENIO,LICENCIATURA EN PSICOLOGÍA CLÍNICA,24,65,89
2015,CENTRO DE ESTUDIOS SUPERIORES TLATLAUQUITEPEC,LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA,0,0,0
2015,LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,8,6,14
2015,LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS,3,1,4
2015,LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA,LICENCIATURA EN COMERCIO INTERNACIONAL,1,2,3
2015,LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA,LICENCIATURA EN DERECHO,11,19,30
2015,LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA,LICENCIATURA EN PSICOLOGÍA,17,35,52
2015,CENTRO DE ESTUDIOS UNIVERSITARIOS DEL INSTITUTO CRISTÓBAL COLON,ARQUITECTURA,191,76,267
2015,CENTRO DE ESTUDIOS UNIVERSITARIOS DEL INSTITUTO CRISTÓBAL COLON,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,78,74,152
2015,CENTRO DE ESTUDIOS UNIVERSITARIOS DEL INSTITUTO CRISTÓBAL COLON,LICENCIATURA EN ADMINISTRACIÓN TURÍSTICA,78,177,255
2015,CENTRO DE ESTUDIOS UNIVERSITARIOS DEL INSTITUTO CRISTÓBAL COLON,LICENCIATURA EN CONTADURÍA PÚBLICA,70,112,182
2015,CENTRO DE ESTUDIOS UNIVERSITARIOS DEL INSTITUTO CRISTÓBAL COLON,LICENCIATURA EN DERECHO Y CIENCIAS SOCIALES,228,264,492
2015,CENTRO DE ESTUDIOS UNIVERSITARIOS DEL INSTITUTO CRISTÓBAL COLON,LICENCIATURA EN LA ENSEÑANZA DEL INGLÉS,16,27,43
2015,CENTRO DE ESTUDIOS UNIVERSITARIOS DEL INSTITUTO CRISTÓBAL COLON,LICENCIATURA EN LENGUAS MODERNAS,0,0,0
2015,CENTRO DE ESTUDIOS UNIVERSITARIOS DEL INSTITUTO CRISTÓBAL COLON,LICENCIATURA EN PSICOLOGÍA,71,236,307
2015,"CENTRO DE INVESTIGACIÓN Y ESTUDIOS SUPERIORES EN ESTOMATOLOGÍA Y SALUD, S.C.",LICENCIATURA EN ESTOMATOLOGÍA,300,654,954
2015,"CENTRO DE INVESTIGACIÓN Y ESTUDIOS SUPERIORES EN ESTOMATOLOGÍA Y SALUD, S.C.",LICENCIATURA EN PSICOLOGÍA,34,151,185
2015,"CENTRO DE INVESTIGACIÓN Y ESTUDIOS UNIVERSITARIOS PARA EL DESARROLLO, S.C.",INGENIERÍA INDUSTRIAL,59,30,89
2015,"CENTRO DE INVESTIGACIÓN Y ESTUDIOS UNIVERSITARIOS PARA EL DESARROLLO, S.C.",LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,35,45,80
2015,"CENTRO DE INVESTIGACIÓN Y ESTUDIOS UNIVERSITARIOS PARA EL DESARROLLO, S.C.",LICENCIATURA EN ADMINISTRACIÓN TURÍSTICA,49,109,158
2015,"CENTRO DE INVESTIGACIÓN Y ESTUDIOS UNIVERSITARIOS PARA EL DESARROLLO, S.C.",LICENCIATURA EN COMERCIO INTERNACIONAL,64,84,148
2015,"CENTRO DE INVESTIGACIÓN Y ESTUDIOS UNIVERSITARIOS PARA EL DESARROLLO, S.C.",LICENCIATURA EN CONTADURÍA PÚBLICA,20,32,52
2015,"CENTRO DE INVESTIGACIÓN Y ESTUDIOS UNIVERSITARIOS PARA EL DESARROLLO, S.C.",LICENCIATURA EN RELACIONES INTERNACIONALES,25,32,57
2015,CENTRO DE REHABILITACIÓN Y EDUCACIÓN ESPECIAL,LICENCIATURA EN TERAPIA FÍSICA,19,37,56
2015,CENTRO DE REHABILITACIÓN Y EDUCACIÓN ESPECIAL,LICENCIATURA EN TERAPIA OCUPACIONAL,5,13,18
2015,CENTRO EDUCATIVO PUEBLA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,38,24,62
2015,CENTRO EDUCATIVO PUEBLA,LICENCIATURA EN CONTADURÍA,8,9,17
2015,CENTRO EDUCATIVO PUEBLA,LICENCIATURA EN DERECHO,67,30,97
2015,CENTRO EDUCATIVO PUEBLA,LICENCIATURA EN DISEÑO DE MODAS,3,11,14
2015,CENTRO EDUCATIVO PUEBLA,LICENCIATURA EN PEDAGOGÍA,7,21,28
2015,CENTRO EDUCATIVO PUEBLA,LICENCIATURA EN PSICOLOGÍA,45,76,121
2015,CENTRO EDUCATIVO REGIONAL APAXTEPEC,"LICENCIATURA EN DEPORTE, ACTIVIDAD FÍSICA Y RECREATIVA",58,20,78
2015,CENTRO EDUCATIVO REGIONAL APAXTEPEC,LICENCIATURA EN GASTRONOMÍA,3,6,9
2015,CENTRO ESCOLAR DIESEL Y GASOLINA A.C.,INGENIERÍA MECÁNICA AUTOMOTRIZ,654,13,667
2015,CENTRO IBEROAMERICANO DE POSGRADOS A.C.,LICENCIATURA EN DERECHO,3,5,8
2015,CENTRO MEXICANO EN ESTOMATOLOGÍA,LICENCIATURA EN COSMETOLOGÍA Y COSMEATRÍA CORPORAL,0,174,174
2015,CENTRO MEXICANO EN ESTOMATOLOGÍA,LICENCIATURA EN ESTOMATOLOGÍA,33,73,106
2015,CENTRO MEXICANO EN ESTOMATOLOGÍA,LICENCIATURA EN FISIOTERAPIA,46,65,111
2015,CENTRO MEXICANO EN ESTOMATOLOGÍA,LICENCIATURA EN NUTRICIÓN,14,85,99
2015,CENTRO MEXICANO UNIVERSITARIO DE CIENCIAS Y HUMANIDADES,LICENCIATURA EN GERONTOLOGÍA,0,4,4
2015,CENTRO MEXICANO UNIVERSITARIO DE CIENCIAS Y HUMANIDADES,LICENCIATURA EN TERAPIA DEL LENGUAJE,6,19,25
2015,CENTRO MEXICANO UNIVERSITARIO DE CIENCIAS Y HUMANIDADES,LICENCIATURA EN TERAPIA FÍSICA,292,665,957
2015,CENTRO MEXICANO UNIVERSITARIO DE CIENCIAS Y HUMANIDADES,LICENCIATURA EN TERAPIA OCUPACIONAL,1,24,25
2015,CENTRO UNIVERSITARIO ALBADA S.C.,LICENCIATURA EN COSMETOLOGÍA INTEGRAL,0,128,128
2015,CENTRO UNIVERSITARIO ALBADA S.C.,PROFESIONAL ASOCIADO EN COSMETOLOGÍA INTEGRAL,0,11,11
2015,CENTRO UNIVERSITARIO ALBADA S.C.,PROFESIONAL ASOCIADO EN ESTILISMO Y PELUQUERÍA,3,36,39
2015,CENTRO UNIVERSITARIO BI-CENTENARIO,LICENCIATURA EN CONTADURÍA PÚBLICA,2,8,10
2015,CENTRO UNIVERSITARIO BI-CENTENARIO,LICENCIATURA EN CRIMINOLOGÍA Y CRIMINALÍSTICA,11,15,26
2015,CENTRO UNIVERSITARIO BI-CENTENARIO,LICENCIATURA EN DERECHO,8,8,16
2015,CENTRO UNIVERSITARIO DE DIRECCIÓN EMPRESARIAL,CONTABILIDAD Y FINANZAS,4,5,9
2015,CENTRO UNIVERSITARIO DE DIRECCIÓN EMPRESARIAL,LICENCIATURA EN COMERCIO INTERNACIONAL,1,2,3
